1989 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	16.0 	16.1   	9.08 	12.6 	15.1 	8.00   	2.96 	1.05 	0.587 	0.316 	4.18 	6.44
2 	13.2 	14.2   	8.07 	15.3 	15.0 	8.65   	3.72 	1.45 	0.597 	0.311 	3.79 	12.8
3 	36.3 	11.0   	6.86 	13.4 	12.9 	8.45   	3.85   	1.39 	0.580 	0.310 	3.75 	47.9
4 	42.5 	9.90   	6.55 	12.6 	12.9 	7.95   	3.70   	1.20 	0.554 	0.324 	9.79 	119
5 	25.5 	8.90   	7.66 	18.1 	14.0 	7.35   	3.50   	1.20 	0.557 	0.329 	7.47 	38.9
6 	17.5 	7.41   	13.3 	37.4 	15.2 	6.70   	3.21   	1.10 	0.535 	0.327 	6.17 	26.4
7 	13.5 	6.95   	13.5 	39.0 	14.2 	5.95   	2.99   	0.940 	0.511 	0.335 	5.56 	27.3
8 	10.8 	6.41   	13.2 	24.3 	12.4 	5.40   	2.75   	0.882 	0.482 	0.333 	7.00 	42.9
9 	9.51 	5.95   	14.2 	18.6 	11.2 	4.94   	2.54   	0.863 	0.426 	0.340 	28.6 	25.8
10 	8.65 	5.60   	27.6 	16.3 	9.28 	4.55   	2.42   	0.830 	0.398 	0.340 	47.6 	18.6
11 	7.58 	5.40   	40.6 	15.7 	7.52 	4.21   	2.30   	0.805 	0.392 	0.349 	21.0 	14.8
12 	8.52 	5.05   	43.7 	15.9 	6.47 	4.11   	2.17   	0.751 	0.409 	0.655 	13.5 	12.4
13 	26.1 	4.81 	31.0 	16.1 	5.90 	4.00   	1.99   	0.738 	0.367 	0.816 	10.4 	10.5
14 	17.3 	4.54 	21.8 	19.2 	5.30 	4.28   	1.80   	0.774 	0.333 	0.756 	8.65 	9.20
15 	13.1 	4.23 	16.5 	20.3 	5.40 	3.91   	1.51   	0.789 	0.339 	0.728 	7.07 	8.18
16 	24.1 	4.09 	14.0 	16.1 	6.43 	3.38   	1.59   	0.776 	0.352 	0.753 	6.67 	7.34
17 	43.3 	4.04 	12.9 	13.4 	6.72 	3.11   	1.64   	0.750 	0.338 	0.733 	8.46 	6.78
18 	36.2 	4.22 	11.4 	12.2 	5.79 	2.95   	1.60   	0.723 	0.378 	0.776 	8.04 	6.42
19 	23.3 	4.30 	10.6 	15.9 	4.83 	2.82   	1.44   	0.671 	0.336 	1.57 	8.38 	6.01
20 	16.7 	4.66 	9.94 	32.3 	4.24 	2.69   	1.37   	0.650 	0.335 	2.03 	11.9 	5.57
21 	14.3 	5.07 	11.6 	24.0 	4.35 	2.53   	1.23   	0.700 	0.323 	14.9 	15.5 	5.47
22 	11.8 	25.5 	13.3 	15.9 	4.19 	2.49   	1.18   	0.733 	0.333 	20.5 	12.2 	5.88
23 	9.83 	35.6 	11.4 	13.5 	4.07 	2.69   	1.12   	0.908 	0.328 	33.1 	12.1 	5.74
24 	8.77 	25.2 	10.4 	11.9 	4.15 	2.79   	1.03   	1.02 	0.324 	20.1 	12.0 	5.56
25 	7.67 	17.8 	9.91 	11.5 	4.03 	2.78   	0.980   	0.936 	0.312 	11.9 	10.1 	5.34
26 	6.92 	13.4 	9.90 	11.7 	4.30 	2.65   	0.939   	0.836 	0.323 	24.5 	9.28 	5.12
27 	8.13 	10.8 	13.2 	12.1 	5.56   	2.62 	0.902   	0.776 	0.333 	14.4 	8.49 	4.95
28 	7.41 	9.87 	16.4 	11.4 	5.60   	2.59 	0.858 	0.745 	0.332 	9.68 	8.28 	4.84
29 	7.34 		13.6 	12.5 	6.10   	2.56 	0.803 	0.703 	0.324 	7.15 	7.91 	4.57
30 	35.7 		11.1 	13.7 	6.80   	2.52 	0.816 	0.643 	0.322 	5.82 	6.99 	4.44
31 	40.2 		11.7 		7.25   		0.840 	0.619 		4.95 		4.54 
