 1994 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	20.5 	13.8   	187 	16.4 	7.07 	3.75 	2.10 	0.466 	0.350 	0.396 	15.5 	61.5
2 	24.7 	12.8   	234 	15.3 	5.99 	3.54 	2.36 	0.468 	0.338 	0.418 	10.1 	29.3
3 	26.0 	12.2   	90.9 	15.4 	5.39 	3.16 	2.01 	0.471 	0.343 	0.463 	7.36 	18.1
4 	121 	11.4   	67.5 	14.0 	7.17 	3.00 	1.82 	0.447 	0.362 	0.465 	10.6 	12.5
5 	59.9 	10.9   	38.7 	11.8 	8.28 	2.99 	2.03 	0.416 	0.363 	0.435 	8.73 	10.0
6 	29.0 	10.7   	23.8 	11.0 	7.94 	3.14 	1.93 	0.389 	0.362 	0.406 	7.20 	8.09
7 	19.8 	10.2   	17.7 	10.6 	9.03 	3.08 	1.79 	0.435 	0.352 	0.396 	6.04 	6.80
8 	17.1 	9.80   	14.6 	12.3 	9.30 	2.88 	1.68 	0.679 	0.393 	0.401 	6.07 	7.06
9 	16.2 	9.60   	12.4 	14.7 	8.73 	2.58 	1.45 	0.684 	0.558 	0.385 	16.0 	8.33
10 	15.2   	9.50   	10.9 	13.3 	7.56 	2.36 	1.32 	0.653 	0.601 	0.388 	15.7 	7.73
11 	15.0   	10.3   	10.5 	11.8 	7.48 	2.46 	1.26 	0.579 	0.561 	0.435 	12.4 	7.48
12 	14.7   	12.7   	9.70 	12.7 	6.91 	3.31 	1.23 	0.543 	0.543 	0.403 	12.9 	7.29
13 	13.8   	13.8   	9.64 	11.1 	5.50 	8.45 	1.14 	0.527 	0.566 	0.402 	9.91 	6.78
14 	25.5   	13.9   	10.4 	9.79 	4.87 	10.3 	1.04 	0.509 	0.567 	0.525 	24.1 	6.10
15 	29.8   	16.8   	10.3 	9.49 	4.47 	7.78 	0.986 	0.480 	0.526 	0.639 	26.6 	5.81
16 	20.9   	17.7   	12.1 	9.62 	4.40 	5.87 	0.942 	0.482 	0.551 	0.614 	17.4 	17.3
17 	16.2   	16.8   	15.5 	10.8 	4.35 	5.19 	0.911 	0.498 	0.575 	0.588 	12.1 	78.8
18 	13.3   	15.4   	24.7 	13.0 	4.14 	5.44 	0.902 	0.476 	0.562 	0.569 	9.22 	95.2
19 	12.4   	14.8   	17.6 	15.6 	4.46 	6.37 	0.846 	0.503 	0.539 	0.541 	22.2 	211
20 	11.8   	13.7   	15.2 	13.7 	4.40 	5.27 	0.797 	0.505 	0.541 	0.588 	27.8 	168
21 	11.6   	12.9   	22.5 	12.3 	4.17 	4.45 	0.741 	0.467 	0.527 	2.67 	16.5 	62.6
22 	26.2   	12.0   	20.1 	12.1 	4.19 	3.93 	0.686 	0.463 	0.508 	1.97 	12.4 	35.9
23 	47.1   	11.2   	15.8 	9.85 	3.90 	3.64 	0.679 	0.461 	0.485 	2.28 	11.3 	25.1
24 	54.2   	10.8   	12.9 	9.54 	3.76 	3.50 	0.648 	0.439 	0.464 	2.23 	9.48 	19.5
25 	33.5   	10.0   	11.1 	8.77 	3.96 	3.17 	0.614 	0.435 	0.422 	1.86 	9.24 	18.1
26 	19.9   	25.5   	10.5 	7.69 	3.85 	2.78 	0.628 	0.404 	0.421 	18.5 	8.05 	112
27 	17.9   	54.9   	11.5 	7.21 	3.15 	2.63 	0.608 	0.385 	0.391 	17.8 	7.20 	99.2
28 	16.4   	185   	14.3 	8.11 	2.87 	2.38 	0.559 	0.371 	0.363 	11.2 	6.44 	77.0
29 	15.9   		16.9 	8.59 	5.10 	2.23 	0.560 	0.389 	0.354 	7.39 	7.52 	36.8
30 	14.7   		17.4 	8.03 	5.47 	2.09 	0.532 	0.388 	0.369 	11.3 	101 	21.2
31 	14.2   		16.8 		4.20 		0.502 	0.368 		17.5 		15.4 
