Date 	Discharge (m3/s)
2013-01-01 00:02:00 	8.993
2013-01-01 01:02:00 	8.949
2013-01-01 02:02:00 	8.887
2013-01-01 03:02:00 	8.87
2013-01-01 04:02:00 	8.834
2013-01-01 05:02:00 	8.764
2013-01-01 06:02:00 	8.729
2013-01-01 07:02:00 	8.711
2013-01-01 08:02:00 	8.667
2013-01-01 09:02:00 	8.623
2013-01-01 10:02:00 	8.588
2013-01-01 11:02:00 	8.526
2013-01-01 12:02:00 	8.482
2013-01-01 13:02:00 	8.465
2013-01-01 14:02:00 	8.421
2013-01-01 15:02:00 	8.377
2013-01-01 16:02:00 	8.359
2013-01-01 17:02:00 	8.298
2013-01-01 18:02:00 	8.262
2013-01-01 19:02:00 	8.245
2013-01-01 20:02:00 	8.218
2013-01-01 21:02:00 	8.183
2013-01-01 22:02:00 	8.13
2013-01-01 23:02:00 	8.13
2013-01-02 00:02:00 	8.078
2013-01-02 01:02:00 	8.051
2013-01-02 02:02:00 	8.007
2013-01-02 03:02:00 	7.99
2013-01-02 04:02:00 	7.91
2013-01-02 05:02:00 	7.893
2013-01-02 06:02:00 	7.866
2013-01-02 07:02:00 	7.814
2013-01-02 08:02:00 	7.778
2013-01-02 09:02:00 	7.778
2013-01-02 10:02:00 	7.726
2013-01-02 11:02:00 	7.673
2013-01-02 12:02:00 	7.673
2013-01-02 13:02:00 	7.629
2013-01-02 14:02:00 	7.585
2013-01-02 15:02:00 	7.558
2013-01-02 16:02:00 	7.514
2013-01-02 17:02:00 	7.506
2013-01-02 18:02:00 	7.47
2013-01-02 19:02:00 	7.435
2013-01-02 20:02:00 	7.418
2013-01-02 21:02:00 	7.4
2013-01-02 22:02:00 	7.378
2013-01-02 23:02:00 	7.326
2013-01-03 00:02:00 	7.289
2013-01-03 01:02:00 	7.275
2013-01-03 02:02:00 	7.245
2013-01-03 03:02:00 	7.245
2013-01-03 04:02:00 	7.208
2013-01-03 05:02:00 	7.171
2013-01-03 06:02:00 	7.142
2013-01-03 07:02:00 	7.12
2013-01-03 08:02:00 	7.12
2013-01-03 09:02:00 	7.061
2013-01-03 10:02:00 	7.016
2013-01-03 11:02:00 	7.001
2013-01-03 12:02:00 	7.016
2013-01-03 13:02:00 	7.001
2013-01-03 14:02:00 	6.965
2013-01-03 15:02:00 	6.95
2013-01-03 16:02:00 	6.928
2013-01-03 17:02:00 	6.898
2013-01-03 18:02:00 	6.876
2013-01-03 19:02:00 	6.898
2013-01-03 20:02:00 	6.906
2013-01-03 21:02:00 	6.913
2013-01-03 22:02:00 	6.906
2013-01-03 23:02:00 	6.898
2013-01-04 00:02:00 	6.891
2013-01-04 01:02:00 	6.891
2013-01-04 02:02:00 	6.876
2013-01-04 03:02:00 	6.869
2013-01-04 04:02:00 	6.847
2013-01-04 05:02:00 	6.817
2013-01-04 06:02:00 	6.817
2013-01-04 07:02:00 	6.787
2013-01-04 08:02:00 	6.758
2013-01-04 09:02:00 	6.751
2013-01-04 10:02:00 	6.714
2013-01-04 11:02:00 	6.692
2013-01-04 12:02:00 	6.677
2013-01-04 13:02:00 	6.684
2013-01-04 14:02:00 	6.662
2013-01-04 15:02:00 	6.64
2013-01-04 16:02:00 	6.64
2013-01-04 17:02:00 	6.603
2013-01-04 18:02:00 	6.581
2013-01-04 19:02:00 	6.588
2013-01-04 20:02:00 	6.559
2013-01-04 21:02:00 	6.544
2013-01-04 22:02:00 	6.544
2013-01-04 23:02:00 	6.551
2013-01-05 00:02:00 	6.537
2013-01-05 01:02:00 	6.492
2013-01-05 02:02:00 	6.5
2013-01-05 03:02:00 	6.492
2013-01-05 04:02:00 	6.47
2013-01-05 05:02:00 	6.463
2013-01-05 06:02:00 	6.47
2013-01-05 07:02:00 	6.455
2013-01-05 08:02:00 	6.455
2013-01-05 09:02:00 	6.441
2013-01-05 10:02:00 	6.426
2013-01-05 11:02:00 	6.448
2013-01-05 12:02:00 	6.485
2013-01-05 13:02:00 	6.455
2013-01-05 14:02:00 	6.433
2013-01-05 15:02:00 	6.47
2013-01-05 16:02:00 	6.448
2013-01-05 17:02:00 	6.478
2013-01-05 18:02:00 	6.522
2013-01-05 19:02:00 	6.514
2013-01-05 20:02:00 	6.537
2013-01-05 21:02:00 	6.544
2013-01-05 22:02:00 	6.596
2013-01-05 23:02:00 	6.662
2013-01-06 00:02:00 	6.706
2013-01-06 01:02:00 	6.817
2013-01-06 02:02:00 	6.935
2013-01-06 03:02:00 	7.061
2013-01-06 04:02:00 	7.186
2013-01-06 05:02:00 	7.275
2013-01-06 06:02:00 	7.356
2013-01-06 07:02:00 	7.418
2013-01-06 08:02:00 	7.514
2013-01-06 09:02:00 	7.585
2013-01-06 10:02:00 	7.638
2013-01-06 11:02:00 	7.646
2013-01-06 12:02:00 	7.655
2013-01-06 13:02:00 	7.752
2013-01-06 14:02:00 	7.761
2013-01-06 15:02:00 	7.778
2013-01-06 16:02:00 	7.814
2013-01-06 17:02:00 	7.822
2013-01-06 18:02:00 	7.858
2013-01-06 19:02:00 	7.849
2013-01-06 20:02:00 	7.849
2013-01-06 21:02:00 	7.902
2013-01-06 22:02:00 	7.919
2013-01-06 23:02:00 	7.954
2013-01-07 00:02:00 	8.016
2013-01-07 01:02:00 	8.06
2013-01-07 02:02:00 	8.051
2013-01-07 03:02:00 	8.13
2013-01-07 04:02:00 	8.192
2013-01-07 05:02:00 	8.271
2013-01-07 06:02:00 	8.324
2013-01-07 07:02:00 	8.394
2013-01-07 08:02:00 	8.5
2013-01-07 09:02:00 	8.606
2013-01-07 10:02:00 	8.676
2013-01-07 11:02:00 	8.799
2013-01-07 12:02:00 	8.966
2013-01-07 13:02:00 	9.098
2013-01-07 14:02:00 	9.23
2013-01-07 15:02:00 	9.362
2013-01-07 16:02:00 	9.459
2013-01-07 17:02:00 	9.574
2013-01-07 18:02:00 	9.69
2013-01-07 19:02:00 	9.78
2013-01-07 20:02:00 	9.85
2013-01-07 21:02:00 	9.95
2013-01-07 22:02:00 	10.1
2013-01-07 23:02:00 	10.15
2013-01-08 00:02:00 	10.28
2013-01-08 01:02:00 	10.36
2013-01-08 02:02:00 	10.43
2013-01-08 03:02:00 	10.5
2013-01-08 04:02:00 	10.55
2013-01-08 05:02:00 	10.61
2013-01-08 06:02:00 	10.61
2013-01-08 07:02:00 	10.59
2013-01-08 08:02:00 	10.64
2013-01-08 09:02:00 	10.66
2013-01-08 10:02:00 	10.71
2013-01-08 11:02:00 	10.76
2013-01-08 12:02:00 	10.93
2013-01-08 13:02:00 	11.04
2013-01-08 14:02:00 	11.29
2013-01-08 15:02:00 	11.66
2013-01-08 16:02:00 	12.123
2013-01-08 17:02:00 	12.622
2013-01-08 18:02:00 	13.77
2013-01-08 19:02:00 	15.819
2013-01-08 20:02:00 	19.237
2013-01-08 21:02:00 	28.263
2013-01-08 22:02:00 	46.028
2013-01-08 23:02:00 	62.35
2013-01-09 00:02:00 	75.838
2013-01-09 01:02:00 	85.97
2013-01-09 02:02:00 	93.094
2013-01-09 03:02:00 	95.547
2013-01-09 04:02:00 	95.898
2013-01-09 05:02:00 	95.693
2013-01-09 06:02:00 	94.204
2013-01-09 07:02:00 	92.102
2013-01-09 08:02:00 	89.211
2013-01-09 09:02:00 	86.437
2013-01-09 10:02:00 	82.733
2013-01-09 11:02:00 	79.897
2013-01-09 12:02:00 	77.089
2013-01-09 13:02:00 	74.254
2013-01-09 14:02:00 	71.557
2013-01-09 15:02:00 	68.825
2013-01-09 16:02:00 	66.725
2013-01-09 17:02:00 	64.65
2013-01-09 18:02:00 	62.225
2013-01-09 19:02:00 	59.7
2013-01-09 20:02:00 	58.075
2013-01-09 21:02:00 	56.268
2013-01-09 22:02:00 	54.414
2013-01-09 23:02:00 	52.413
2013-01-10 00:02:00 	50.807
2013-01-10 01:02:00 	49.299
2013-01-10 02:02:00 	47.698
2013-01-10 03:02:00 	46.121
2013-01-10 04:02:00 	44.716
2013-01-10 05:02:00 	43.775
2013-01-10 06:02:00 	42.681
2013-01-10 07:02:00 	41.702
2013-01-10 08:02:00 	40.722
2013-01-10 09:02:00 	39.647
2013-01-10 10:02:00 	38.802
2013-01-10 11:02:00 	37.881
2013-01-10 12:02:00 	36.998
2013-01-10 13:02:00 	35.98
2013-01-10 14:02:00 	35.212
2013-01-10 15:02:00 	34.271
2013-01-10 16:02:00 	33.369
2013-01-10 17:02:00 	32.62
2013-01-10 18:02:00 	31.871
2013-01-10 19:02:00 	31.065
2013-01-10 20:02:00 	30.508
2013-01-10 21:02:00 	29.759
2013-01-10 22:02:00 	29.126
2013-01-10 23:02:00 	28.434
2013-01-11 00:02:00 	27.73
2013-01-11 01:02:00 	27.251
2013-01-11 02:02:00 	26.478
2013-01-11 03:02:00 	25.867
2013-01-11 04:02:00 	25.336
2013-01-11 05:02:00 	24.772
2013-01-11 06:02:00 	24.357
2013-01-11 07:02:00 	23.809
2013-01-11 08:02:00 	23.327
2013-01-11 09:02:00 	22.846
2013-01-11 10:02:00 	22.348
2013-01-11 11:02:00 	21.95
2013-01-11 12:02:00 	21.573
2013-01-11 13:02:00 	21.281
2013-01-11 14:02:00 	20.901
2013-01-11 15:02:00 	20.594
2013-01-11 16:02:00 	20.2
2013-01-11 17:02:00 	19.894
2013-01-11 18:02:00 	19.587
2013-01-11 19:02:00 	19.149
2013-01-11 20:02:00 	18.959
2013-01-11 21:02:00 	18.565
2013-01-11 22:02:00 	18.331
2013-01-11 23:02:00 	18.11
2013-01-12 00:02:00 	17.906
2013-01-12 01:02:00 	17.56
2013-01-12 02:02:00 	17.419
2013-01-12 03:02:00 	16.997
2013-01-12 04:02:00 	16.856
2013-01-12 05:02:00 	16.69
2013-01-12 06:02:00 	16.421
2013-01-12 07:02:00 	16.139
2013-01-12 08:02:00 	16.05
2013-01-12 09:02:00 	15.858
2013-01-12 10:02:00 	15.678
2013-01-12 11:02:00 	15.422
2013-01-12 12:02:00 	15.192
2013-01-12 13:02:00 	15.192
2013-01-12 14:02:00 	14.988
2013-01-12 15:02:00 	14.838
2013-01-12 16:02:00 	14.64
2013-01-12 17:02:00 	14.582
2013-01-12 18:02:00 	14.432
2013-01-12 19:02:00 	14.292
2013-01-12 20:02:00 	14.142
2013-01-12 21:02:00 	13.979
2013-01-12 22:02:00 	13.852
2013-01-12 23:02:00 	13.701
2013-01-13 00:02:00 	13.596
2013-01-13 01:02:00 	13.446
2013-01-13 02:02:00 	13.341
2013-01-13 03:02:00 	13.214
2013-01-13 04:02:00 	13.074
2013-01-13 05:02:00 	12.9
2013-01-13 06:02:00 	12.784
2013-01-13 07:02:00 	12.68
2013-01-13 08:02:00 	12.541
2013-01-13 09:02:00 	12.436
