2005	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1	 1210	 3190	 1380	 1530	 5000	 6240	 5360	 3560	 2120	 1820	 2660	 1360
2	 1080	 3020	 1370	 1500	 4690	 6720	 5320	 3560	 2140	 2050	 2520	 1220
3	 940	 2940	 1350	 1480	 4420	 7050	 5370	 3580	 2240	 2190	 2420	 1080
4	 920	 2980	 1320	 1460	 4220	 7320	 5510	 3670	 2210	 2200	 2360	 1010
5	 885	 3070	 1360	 1450	 4090	 7400	 5550	 3710	 2090	 2120	 2290	 946
6	 830	 3170	 1380	 1440	 4070	 7220	 5590	 3660	 2120	 1960	 2230	 887
7	 820	 3210	 1420	 1460	 4140	 6960	 5450	 3440	 2210	 1960	 2150	 896
8	 820	 2950	 1460	 1500	 4280	 6800	 5420	 3260	 2150	 1850	 2080	 861
9	 810	 2680	 1640	 1530	 4580	 6720	 5860	 3140	 2050	 1770	 2000	 882
10	 805	 2510	 1870	 1690	 4840	 6570	 6090	 3080	 1950	 1770	 2110	 913
11	 805	 2400	 2010	 1880	 4880	 6340	 6140	 3030	 1930	 1860	 2120	 1040
12	 823	 2320	 2140	 1990	 4880	 6110	 6030	 2960	 1970	 1850	 2040	 1100
13	 846	 2260	 2250	 2000	 4980	 6010	 5790	 2860	 1930	 1960	 2020	 1130
14	 910	 2160	 2240	 1970	 5230	 5950	 5530	 2760	 1850	 2210	 2080	 1130
15	 990	 2070	 2250	 1950	 5620	 5890	 5260	 2680	 1840	 2260	 1980	 1100
16	 1040	 1970	 2240	 1970	 6110	 5770	 5160	 2620	 1800	 2500	 1910	 1080
17	 1060	 1870	 2200	 1930	 6420	 5670	 5090	 2590	 1800	 2730	 1820	 1050
18	 1340	 1780	 2150	 1900	 6860	 5570	 5100	 2580	 1900	 2810	 1780	 1020
19	 2070	 1700	 2050	 1900	 7310	 5440	 5070	 2540	 1910	 2760	 1740	 987
20	 2360	 1640	 1990	 1970	 7460	 5420	 4970	 2540	 1890	 3000	 1720	 967
21	 2010	 1570	 1890	 2140	 7230	 5390	 4850	 2540	 1810	 3120	 1650	 1150
22	 1800	 1530	 1760	 2260	 6830	 5430	 4750	 2520	 1750	 3070	 1780	 1260
23	 1950	 1490	 1640	 2490	 6480	 5480	 4620	 2490	 1770	 2960	 1870	 1360
24	 2380	 1470	 1560	 2830	 6130	 5530	 4410	 2430	 1790	 2820	 1870	 1490
25	 3760	 1450	 1550	 3300	 5810	 5760	 4210	 2460	 1760	 2680	 1850	 2280
26	 3470	 1440	 1600	 3840	 5570	 5890	 4130	 2450	 1670	 2680	 1780	 2050
27	 3620	 1420	 1610	 4420	 5370	 5870	 4240	 2370	 1600	 2820	 1700	 1700
28	 3870	 1380	 1600	 4840	 5280	 5710	 4110	 2240	 1530	 2870	 1630	 1610
29	 3830		 1450	 5200	 5320	 5520	 3910	 2140	 1580	 2850	 1560	 1620
30	 3620		 1430	 5230	 5530	 5410	 3730	 2090	 1770	 2770	 1470	 1670
31	 3420		 1450		 5790		 3610	 2060		 2740		 1690
