2010 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec
1 	827 	877 	769 	1760 	2670 	4830 	5430 	3180 	2070 	2770 	1630 	1060
2 	896 	872 	779 	1670 	2770 	4840 	5220 	3200 	2010 	3090 	1700 	1130
3 	893 	863 	802 	1570 	2800 	5020 	5040 	3180 	1890 	3040 	1530 	1150
4 	865 	854 	831 	1490 	2750 	4860 	4860 	3140 	1840 	2780 	1480 	1140
5 	831 	851 	849 	1410 	2720 	4880 	4650 	3070 	1870 	2550 	1490 	1110
6 	806 	849 	872 	1350 	2680 	5080 	4420 	3010 	1870 	2330 	1520 	1070
7 	767 	831 	869 	1260 	2600 	5150 	4340 	2930 	1860 	2190 	1550 	1010
8 	745 	818 	887 	1270 	2500 	5100 	4450 	2860 	1880 	2080 	1520 	994
9 	755 	802 	909 	1250 	2390 	5080 	4550 	2840 	1950 	2020 	1520 	1080
10 	816 	789 	918 	1260 	2310 	5180 	4530 	2840 	1970 	2070 	1530 	1090
11 	1100 	784 	909 	1280 	2250 	5270 	4470 	2860 	1890 	1980 	1530 	1060
12 	1380 	791 	918 	1260 	2250 	5370 	4540 	2840 	1810 	1890 	1500 	1250
13 	1290 	792 	902 	1230 	2330 	5510 	4590 	2800 	1790 	1820 	1460 	1330
14 	1170 	822 	856 	1190 	2420 	5610 	4510 	2710 	1740 	1770 	1450 	1200
15 	1240 	845 	840 	1180 	2550 	5610 	4450 	2640 	1700 	1800 	1500 	1150
16 	1210 	832 	870 	1180 	2710 	5680 	4370 	2600 	1700 	1790 	1610 	1100
17 	1120 	829 	915 	1230 	2940 	5780 	4170 	2550 	1690 	1770 	1540 	1050
18 	1110 	809 	908 	1320 	3230 	5670 	3960 	2540 	1670 	1690 	1610 	1000
19 	1120 	802 	938 	1470 	3480 	5500 	3820 	2520 	1670 	1620 	1650 	945
20 	1110 	796 	960 	1710 	3930 	5400 	3690 	2520 	1810 	1560 	1550 	897
21 	1090 	796 	987 	1990 	4380 	5370 	3580 	2500 	1860 	1520 	1330 	885
22 	1080 	789 	1060 	2330 	4970 	5330 	3500 	2460 	1750 	1520 	1110 	803
23 	1050 	781 	1110 	2570 	5270 	5420 	3470 	2420 	1750 	1720 	870   	780
24 	1010 	768 	1120 	2800 	5260 	5560 	3390 	2310 	1780 	1880 	800   	831
25 	981 	771 	1140 	2860 	4970 	5690 	3380 	2180 	1780 	1890 	750   	921
26 	946 	738 	1170 	2830 	4590 	5780 	3410 	2070 	1880 	1810 	800   	951
27 	934 	757 	1230 	2800 	4380 	5880 	3430 	2030 	1940 	1730 	860   	998
28 	918   	773 	1330 	2770 	4490 	5950 	3430 	1980 	2000 	1670 	908 	1010
29 	892 		1560 	2670 	4550 	5900 	3350 	1960 	2350 	1610 	1010 	961
30 	889 		1580 	2590 	4620 	5700 	3260 	1980 	2540 	1580 	1020 	931
31 	892 		1660 		4720 		3190 	2020 		1560 		893 
