Date 	Discharge (m3/s)
2013-01-01 00:01:00 	882.801
2013-01-01 01:01:00 	878.708
2013-01-01 02:01:00 	877.957
2013-01-01 03:01:00 	880.241
2013-01-01 04:01:00 	880.855
2013-01-01 05:01:00 	882.23
2013-01-01 06:01:00 	880.87
2013-01-01 07:01:00 	881.789
2013-01-01 08:01:00 	882.556
2013-01-01 09:01:00 	882.867
2013-01-01 10:01:00 	878.319
2013-01-01 11:01:00 	878.63
2013-01-01 12:01:00 	883.802
2013-01-01 13:01:00 	888.226
2013-01-01 14:01:00 	880.17
2013-01-01 15:01:00 	878.508
2013-01-01 16:01:00 	870.191
2013-01-01 17:01:00 	866.427
2013-01-01 18:01:00 	863.874
2013-01-01 19:01:00 	862.677
2013-01-01 20:01:00 	864.942
2013-01-01 21:01:00 	867.964
2013-01-01 22:01:00 	866.765
2013-01-01 23:01:00 	868.582
2013-01-02 00:01:00 	878.119
2013-01-02 01:01:00 	884.354
2013-01-02 02:01:00 	884.514
2013-01-02 03:01:00 	887.262
2013-01-02 04:01:00 	892.305
2013-01-02 05:01:00 	894.452
2013-01-02 06:01:00 	894.765
2013-01-02 07:01:00 	892.021
2013-01-02 08:01:00 	893.404
2013-01-02 09:01:00 	889.441
2013-01-02 10:01:00 	888.076
2013-01-02 11:01:00 	891.287
2013-01-02 12:01:00 	883.37
2013-01-02 13:01:00 	885.203
2013-01-02 14:01:00 	882.777
2013-01-02 15:01:00 	875.652
2013-01-02 16:01:00 	867.499
2013-01-02 17:01:00 	865.848
2013-01-02 18:01:00 	859.689
2013-01-02 19:01:00 	859.696
2013-01-02 20:01:00 	854.006
2013-01-02 21:01:00 	851.171
2013-01-02 22:01:00 	848.042
2013-01-02 23:01:00 	844.174
2013-01-03 00:01:00 	842.544
2013-01-03 01:01:00 	841.064
2013-01-03 02:01:00 	843.6
2013-01-03 03:01:00 	842.417
2013-01-03 04:01:00 	843.317
2013-01-03 05:01:00 	845.409
2013-01-03 06:01:00 	846.31
2013-01-03 07:01:00 	846.616
2013-01-03 08:01:00 	847.816
2013-01-03 09:01:00 	851.557
2013-01-03 10:01:00 	852.611
2013-01-03 11:01:00 	853.965
2013-01-03 12:01:00 	857.268
2013-01-03 13:01:00 	862.231
2013-01-03 14:01:00 	859.834
2013-01-03 15:01:00 	860.442
2013-01-03 16:01:00 	856.548
2013-01-03 17:01:00 	854.308
2013-01-03 18:01:00 	858.662
2013-01-03 19:01:00 	866.641
2013-01-03 20:01:00 	869.967
2013-01-03 21:01:00 	874.358
2013-01-03 22:01:00 	873.004
2013-01-03 23:01:00 	875.887
2013-01-04 00:01:00 	878.319
2013-01-04 01:01:00 	876.659
2013-01-04 02:01:00 	871.672
2013-01-04 03:01:00 	866.85
2013-01-04 04:01:00 	863.845
2013-01-04 05:01:00 	857.542
2013-01-04 06:01:00 	852.456
2013-01-04 07:01:00 	847.236
2013-01-04 08:01:00 	843.667
2013-01-04 09:01:00 	841.741
2013-01-04 10:01:00 	837.737
2013-01-04 11:01:00 	835.669
2013-01-04 12:01:00 	832.271
2013-01-04 13:01:00 	831.391
2013-01-04 14:01:00 	831.841
2013-01-04 15:01:00 	830.814
