Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bute,9740,15.62,0.45,0.29,0.43,0.41,1.48,2.23,3.44,2.75,1.94,0.77,0.54,0.90
Caamano,30858,70.42,4.40,2.63,3.97,6.78,9.97,6.15,9.56,5.48,6.39,6.20,3.24,5.63
EVI_N,9709,18.97,2.18,1.35,1.40,1.52,1.76,1.37,0.93,0.35,0.59,1.77,2.79,2.96
EVI_S,6510,8.60,1.03,0.69,0.84,1.15,0.36,0.25,0.33,0.06,0.21,0.34,1.09,2.24
Fraser,235396,89.65,4.39,2.74,4.09,5.37,12.87,14.77,14.66,8.37,7.55,4.23,5.70,4.90
Hakai,32520,42.37,1.74,1.18,2.19,2.94,6.13,5.06,6.78,4.77,5.00,2.31,1.75,2.50
Howe,6234,13.84,0.64,0.42,0.48,1.39,1.55,1.62,2.04,1.30,1.28,1.05,0.93,1.13
JdF,5356,11.04,1.90,0.90,1.00,1.70,0.37,0.12,0.19,0.04,0.32,0.62,1.35,2.54
Jervis,5785,7.70,0.67,0.40,0.51,0.64,0.63,0.66,0.72,0.34,0.37,0.56,0.90,1.30
Knight,19437,33.31,1.20,0.58,1.29,1.94,4.65,3.92,5.91,4.55,4.32,2.01,1.23,1.72
Nass,55242,83.23,4.54,2.82,4.08,7.82,10.68,9.04,9.48,5.82,10.54,7.53,4.71,6.17
Puget,17080,13.58,2.51,0.99,0.90,1.76,0.75,0.57,0.85,0.27,0.73,0.70,1.25,2.30
HG_Dixon,4551,6.96,0.98,0.38,0.62,0.75,0.49,0.15,0.18,0.10,0.46,1.01,0.66,1.19
HG_East,4248,18.20,2.26,1.85,1.72,1.41,1.18,0.71,0.52,0.56,0.98,2.51,2.04,2.46
HG_West,3245,9.57,1.30,0.46,0.89,1.15,0.78,0.27,0.28,0.11,0.65,1.34,0.77,1.55
Skagit,15467,26.64,4.05,1.81,1.75,2.84,2.11,2.00,1.91,0.96,1.23,1.65,2.79,3.53
Skeena,56272,40.86,1.08,0.78,1.05,2.49,7.47,8.37,6.98,2.94,3.97,2.74,1.53,1.46
Stikine,75670,81.83,5.59,3.20,3.95,5.08,6.37,7.20,8.96,5.69,13.67,8.21,5.56,8.34
Toba,3892,7.09,0.30,0.22,0.27,0.44,0.85,0.80,0.94,0.47,0.94,0.67,0.43,0.76
WC,15882,32.17,5.83,2.33,2.40,4.04,1.18,0.57,0.88,0.22,1.37,2.17,3.91,7.27
WVI,16932,40.81,3.62,2.15,3.23,5.39,4.76,1.39,2.55,0.74,2.67,2.72,4.04,7.55
Columbia,685292,203.74,26.39,15.44,15.96,26.10,20.18,19.29,13.78,10.66,10.09,10.63,14.13,21.09
Bute,9740,17.23,0.55,0.61,0.68,0.30,1.28,2.66,3.18,3.02,1.76,1.61,1.18,0.40
Caamano,30858,77.55,7.56,3.71,5.53,5.10,4.44,7.92,5.49,7.93,6.15,9.26,8.41,6.04
EVI_N,9709,20.85,2.69,1.56,1.96,1.54,1.75,1.55,0.65,0.45,0.62,2.14,3.54,2.40
EVI_S,6510,11.31,2.09,0.85,1.90,0.80,0.37,0.65,0.25,0.10,0.23,0.51,1.31,2.26
Fraser,235396,108.17,6.26,4.20,4.79,4.36,13.56,22.05,16.86,9.71,7.32,7.09,6.12,5.86
Hakai,32520,47.37,4.10,1.92,1.97,1.83,3.37,6.92,5.32,6.02,4.18,4.98,4.21,2.54
Howe,6234,19.75,1.20,0.97,1.11,0.94,1.95,3.18,2.54,1.97,1.29,1.82,1.63,1.15
JdF,5356,14.30,2.91,1.51,2.31,0.74,0.43,0.47,0.13,0.09,0.28,1.19,1.80,2.44
Jervis,5785,10.68,1.39,0.75,1.12,0.55,0.81,1.14,0.75,0.41,0.27,0.81,1.46,1.21
Knight,19437,36.90,1.96,0.94,1.63,1.11,2.92,5.48,4.90,5.32,3.96,4.40,3.37,0.90
Nass,55242,98.43,7.47,4.55,5.58,8.29,8.00,13.42,8.10,7.82,6.98,12.55,9.01,6.66
Puget,17080,17.01,2.79,1.46,2.19,0.94,1.09,1.94,0.98,0.39,0.92,0.77,1.25,2.30
HG_Dixon,4551,8.80,1.04,0.54,1.15,1.00,0.24,0.34,0.08,0.20,0.46,1.27,1.26,1.23
HG_East,4248,18.60,2.40,2.19,1.68,1.40,1.07,0.74,0.43,0.46,0.89,2.46,2.37,2.51
HG_West,3245,12.20,1.41,0.67,1.88,1.43,0.36,0.70,0.15,0.36,0.72,1.47,1.48,1.58
Skagit,15467,31.69,4.50,2.37,3.34,2.04,2.76,3.66,2.33,1.13,1.37,1.71,2.73,3.76
Skeena,56272,46.17,1.70,0.99,1.27,2.72,6.76,10.57,5.91,4.58,2.87,4.18,2.97,1.67
Stikine,75670,97.69,8.21,5.12,6.34,4.18,5.31,10.73,8.43,7.92,12.64,11.89,7.97,8.95
